BME280	5.89	1.80	0.00	BME280	BME280
C1	4.61	18.91	270.00	100n	_PKG_C_0402
C10	21.44	11.82	0.00	CAP0402	CAPC1005X40N
C11	14.27	19.90	90.00	100n	_PKG_C_0402
C12	9.78	20.03	90.00	100n	_PKG_C_0402
C13	10.69	8.51	270.00	100n	_PKG_C_0402
C14	5.18	10.92	180.00	22u	_PKG_C_0805
C15	7.34	8.69	270.00	100n	_PKG_C_0402
C16	5.19	15.29	0.00	22u	_PKG_C_0805
C17	11.66	8.51	270.00	100n	_PKG_C_0402
C18	15.42	9.53	270.00	100n	_PKG_C_0402
C19	21.79	18.69	63.00	CAP0402	CAPC1005X40N
C2	3.58	18.91	270.00	100n	_PKG_C_0402
C20	15.88	6.93	180.00	CAP0402	CAPC1005X40N
C21	22.77	20.67	63.80	CAP0402	CAPC1005X40N
C22	11.57	6.96	180.00	CAP0402	CAPC1005X40N
C23	10.53	23.88	0.00		CAPM7343X310
C24	6.39	4.05	180.00	100n	_PKG_C_0402
C25	2.03	8.38	0.00	100n	_PKG_C_0402
C26	21.68	21.67	333.40	CAP0402	CAPC1005X40N
C3	17.74	13.39	0.00	CAP0402	CAPC1005X40N
C4	17.74	9.19	180.00	CAP0402	CAPC1005X40N
C5	8.36	8.69	90.00	100n	_PKG_C_0402
C6	18.24	18.25	0.00	12p	_PKG_C_0402
C7	16.45	18.25	180.00	12p	_PKG_C_0402
C8	8.24	19.18	0.00	1u	_PKG_C_0402
C9	17.74	11.28	0.00	CAP0402	CAPC1005X40N
E1	23.91	22.83	270.00	ANTENNA-GROUNDEDTRACE-15.2MM	TRACE_ANTENNA_2.4GHZ_15.2MM
HTU21	2.13	6.13	180.00	HTU21D	QFN100P300X300X100-7N
IC3	11.53	14.35	180.00	CC2652R1FRGZ	QFN50P700X700X100-49N
L1	6.07	18.29	90.00	BLM18HE152SN1	_PKG_L_0603
L2	5.21	13.28	180.00	MLZ2012N6R8LT000	_PKG_C_0805
L3	17.73	12.34	0.00	IND0402IND0402	INDC1005X40N
L4	17.75	10.24	0.00	IND0402IND0402	INDC1005X40N
L5	19.58	11.81	0.00	IND0402IND0402	INDC1005X40N
L6	20.52	13.25	89.40	IND0402IND0402	INDC1005X40N
R1	9.33	8.70	270.00	100K	_PKG_C_0402
R3	11.56	4.19	0.00	510k	RESC1005X40N
R4	11.91	20.07	270.00	100Ohm	RESC1005X40N
R5	4.89	6.50	90.00	4.7k	RESC1005X40N
R6	6.06	6.50	90.00	4.7k	RESC1005X40N
TP1	23.91	21.79	0.00	TPTP06SQ	TP05SQ
TP2	23.90	23.89	0.00	TPSQTP15SQ	TP15SQ
Y1	13.69	7.66	90.00	Q22FA12800150	XTAL-4P-2016
Y2	17.35	19.81	180.00	32.768KHz	XTAL-2P-3215
